GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wildstore-cli,edu.sjsu.wildstore,UserCli,66,202,12,10,11,34,13,6,1,6
wildstore-cli,edu.sjsu.wildstore,Main.Cli.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
wildstore-cli,edu.sjsu.wildstore,Main.Cli.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
wildstore-cli,edu.sjsu.wildstore,Main.Cli.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
wildstore-cli,edu.sjsu.wildstore,Main.Cli.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
wildstore-cli,edu.sjsu.wildstore,Main,60,0,6,0,18,0,8,0,5,0
wildstore-cli,edu.sjsu.wildstore,Main.Cli.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
wildstore-cli,edu.sjsu.wildstore,Main.Cli.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
wildstore-cli,edu.sjsu.wildstore,Main.Cli.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
wildstore-cli,edu.sjsu.wildstore,Main.Cli,160,305,12,14,33,50,10,19,3,13
wildstore-cli,edu.sjsu.wildstore,CliOptions,32,66,4,4,5,19,4,6,0,6
