GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wildstore-meta,edu.sjsu.wildstore.meta.configuration,MongoConfiguration,0,7,0,0,0,3,0,2,0,2
wildstore-meta,edu.sjsu.wildstore.meta,Main,5,3,0,0,2,1,1,1,1,1
wildstore-meta,edu.sjsu.wildstore.meta,CriteriaBuilder,276,333,28,30,52,71,24,20,1,6
wildstore-meta,edu.sjsu.wildstore.meta.worker,BackupWorker,9,89,2,2,3,17,2,4,0,4
wildstore-meta,edu.sjsu.wildstore.meta.worker,InitialAdminChecker,5,71,3,7,1,17,3,5,0,3
wildstore-meta,edu.sjsu.wildstore.meta.util,OauthPropertiesChecker,54,138,5,13,11,29,5,10,0,6
wildstore-meta,edu.sjsu.wildstore.meta.util,UserInfo,33,78,5,5,8,19,4,8,1,6
wildstore-meta,edu.sjsu.wildstore.meta.util,RequestMatchingAuthenticationManagerResolver,7,45,0,4,1,13,1,5,1,3
wildstore-meta,edu.sjsu.wildstore.meta.service,UserService,1,138,1,5,0,22,1,7,0,5
wildstore-meta,edu.sjsu.wildstore.meta.controller,DatasetController,101,480,15,29,19,79,13,16,0,7
wildstore-meta,edu.sjsu.wildstore.meta.controller,ShareLinkController,143,675,28,27,30,103,25,17,0,13
wildstore-meta,edu.sjsu.wildstore.meta.controller,OAuth2LoginSuccessHandler,0,16,0,0,0,5,0,2,0,2
wildstore-meta,edu.sjsu.wildstore.meta.controller,StatisticsController,16,407,0,10,4,71,2,13,2,8
wildstore-meta,edu.sjsu.wildstore.meta.controller,ShareLinkController.CreatedLinks,0,9,0,0,0,4,0,1,0,1
wildstore-meta,edu.sjsu.wildstore.meta.controller,UserController,14,56,4,5,3,14,3,4,0,2
wildstore-meta,edu.sjsu.wildstore.meta.controller,MetadataController,20,483,7,31,5,84,6,26,0,13
wildstore-meta,edu.sjsu.wildstore.meta.controller,SecurityConfiguration,0,317,2,12,0,75,2,21,0,16
wildstore-meta,edu.sjsu.wildstore.meta.controller,OauthController,18,167,2,2,3,36,3,8,1,8
wildstore-meta,edu.sjsu.wildstore.meta.controller,FileDownloadController,0,10,0,0,0,3,0,2,0,2
wildstore-meta,edu.sjsu.wildstore.meta.controller,FileNodeBridgeController,40,3,0,0,6,1,1,1,1,1
wildstore-meta,edu.sjsu.wildstore.meta.controller,UsersController,0,51,0,4,0,12,0,7,0,5
