GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb.records,FileNodeRecord,18,0,0,0,1,0,1,0,1,0
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,FileNodeController,67,3,4,0,12,1,3,1,1,1
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,EncryptionUtils,57,0,0,0,13,0,3,0,3,0
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,UserRole,0,21,0,0,0,4,0,1,0,1
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,FilePermissionService.FileNodeDoesNotExistException,7,0,0,0,3,0,1,0,1,0
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,FilePermission,12,0,0,0,5,0,1,0,1,0
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,FileNodeService.UserDoesNotExistException,7,0,0,0,3,0,1,0,1,0
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,FilePermissionService,69,12,6,0,14,5,4,1,1,1
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,UserEmailConverter,20,8,0,0,6,2,2,2,2,2
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,UserService,93,6,2,0,20,3,9,1,8,1
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,FileType,0,45,0,0,0,8,0,1,0,1
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,FileNodeService.ParentDoesNotExistException,7,0,0,0,3,0,1,0,1,0
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,Main,5,3,0,0,2,1,1,1,1,1
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,FileNodeService,97,9,8,0,19,4,7,1,3,1
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,User,22,3,0,0,9,1,3,1,3,1
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,FileDigestConverter,20,8,0,0,6,2,2,2,2,2
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,FileNameConverter,20,8,0,0,6,2,2,2,2,2
wildstore-relationalDb,edu.sjsu.wildstore.wildstore_relationalDb,FileNode,18,0,0,0,7,0,1,0,1,0
